design,n,memory_size
LS,11,804
LS,111,52004
LS,211,183204
LS,311,394404
LS,411,685604
LS,511,1056804
LS,611,1508004
LS,711,2039204
LS,811,2650404
LS,911,3341604
LS,1011,4112804
LS,1111,4964004
LS,1211,5895204
LS,1311,6906404
LS,1411,7997604
LS,1511,9168804
LS,1611,10420004
LS,1711,11751204
LS,1811,13162404
LS,1911,14653604
LS,2011,16224804
LS,2111,17876004
LS,2211,19607204
LS,2311,21418404
LS,2411,23309604
LS,2511,25280804
LS,2611,27332004
LS,2711,29463204
LS,2811,31674404
LS,2911,33965604
LS,3011,36336804
LS,3111,38788004
LS,3211,41319204
LS,3311,43930404
LS,3411,46621604
LS,3511,49392804
LS,3611,52244004
LS,3711,55175204
LS,3811,58186404
LS,3911,61277604
LS,4011,64448804
LS,4111,67700004
LS,4211,71031204
LS,4311,74442404
LS,4411,77933604
LS,4511,81504804
LS,4611,85156004
LS,4711,88887204
LS,4811,92698404
LS,4911,96589604
LS,5011,100560804
LS,5111,104612004
LS,5211,108743204
LS,5311,112954404
LS,5411,117245604
LS,5511,121616804
LS,5611,126068004
LS,5711,130599204
LS,5811,135210404
LS,5911,139901604
LS,6011,144672804
LS,6111,149524004
LS,6211,154455204
LS,6311,159466404
LS,6411,164557604
LS,6511,169728804
LS,6611,174980004
LS,6711,180311204
LS,6811,185722404
LS,6911,191213604
LS,7011,196784804
LS,7111,202436004
LS,7211,208167204
LS,7311,213978404
LS,7411,219869604
LS,7511,225840804
LS,7611,231892004
LS,7711,238023204
LS,7811,244234404
LS,7911,250525604
LS,8011,256896804
LS,8111,263348004
LS,8211,269879204
LS,8311,276490404
LS,8411,283181604
LS,8511,289952804
LS,8611,296804004
LS,8711,303735204
LS,8811,310746404
LS,8911,317837604
LS,9011,325008804
LS,9111,332260004
LS,9211,339591204
LS,9311,347002404
LS,9411,354493604
LS,9511,362064804
LS,9611,369716004
LS,9711,377447204
LS,9811,385258404
LS,9911,393149604
LS,10011,401120804
PairMOLS,11,1680
PairMOLS,111,104080
PairMOLS,211,366480
PairMOLS,311,788880
PairMOLS,411,1371280
PairMOLS,511,2113680
PairMOLS,611,3016080
PairMOLS,711,4078480
PairMOLS,811,5300880
PairMOLS,911,6683280
PairMOLS,1011,8225680
PairMOLS,1111,9928080
PairMOLS,1211,11790480
PairMOLS,1311,13812880
PairMOLS,1411,15995280
PairMOLS,1511,18337680
PairMOLS,1611,20840080
PairMOLS,1711,23502480
PairMOLS,1811,26324880
PairMOLS,1911,29307280
PairMOLS,2011,32449680
PairMOLS,2111,35752080
PairMOLS,2211,39214480
PairMOLS,2311,42836880
PairMOLS,2411,46619280
PairMOLS,2511,50561680
PairMOLS,2611,54664080
PairMOLS,2711,58926480
PairMOLS,2811,63348880
PairMOLS,2911,67931280
PairMOLS,3011,72673680
PairMOLS,3111,77576080
PairMOLS,3211,82638480
PairMOLS,3311,87860880
PairMOLS,3411,93243280
PairMOLS,3511,98785680
PairMOLS,3611,104488080
PairMOLS,3711,110350480
PairMOLS,3811,116372880
PairMOLS,3911,122555280
PairMOLS,4011,128897680
PairMOLS,4111,135400080
PairMOLS,4211,142062480
PairMOLS,4311,148884880
PairMOLS,4411,155867280
PairMOLS,4511,163009680
PairMOLS,4611,170312080
PairMOLS,4711,177774480
PairMOLS,4811,185396880
PairMOLS,4911,193179280
PairMOLS,5011,201121680
PairMOLS,5111,209224080
PairMOLS,5211,217486480
PairMOLS,5311,225908880
PairMOLS,5411,234491280
PairMOLS,5511,243233680
PairMOLS,5611,252136080
PairMOLS,5711,261198480
PairMOLS,5811,270420880
PairMOLS,5911,279803280
PairMOLS,6011,289345680
PairMOLS,6111,299048080
PairMOLS,6211,308910480
PairMOLS,6311,318932880
PairMOLS,6411,329115280
PairMOLS,6511,339457680
PairMOLS,6611,349960080
PairMOLS,6711,360622480
PairMOLS,6811,371444880
PairMOLS,6911,382427280
PairMOLS,7011,393569680
PairMOLS,7111,404872080
PairMOLS,7211,416334480
PairMOLS,7311,427956880
PairMOLS,7411,439739280
PairMOLS,7511,451681680
PairMOLS,7611,463784080
PairMOLS,7711,476046480
PairMOLS,7811,488468880
PairMOLS,7911,501051280
PairMOLS,8011,513793680
PairMOLS,8111,526696080
PairMOLS,8211,539758480
PairMOLS,8311,552980880
PairMOLS,8411,566363280
PairMOLS,8511,579905680
PairMOLS,8611,593608080
PairMOLS,8711,607470480
PairMOLS,8811,621492880
PairMOLS,8911,635675280
PairMOLS,9011,650017680
PairMOLS,9111,664520080
PairMOLS,9211,679182480
PairMOLS,9311,694004880
PairMOLS,9411,708987280
PairMOLS,9511,724129680
PairMOLS,9611,739432080
PairMOLS,9711,754894480
PairMOLS,9811,770516880
PairMOLS,9911,786299280
PairMOLS,10011,802241680
FBTD,11,7968
FBTD,111,790368
FBTD,211,2852768
FBTD,311,6195168
FBTD,411,10817568
FBTD,511,16719968
FBTD,611,23902368
FBTD,711,32364768
FBTD,811,42107168
FBTD,911,53129568
FBTD,1011,65431968
FBTD,1111,79014368
FBTD,1211,93876768
FBTD,1311,110019168
FBTD,1411,127441568
FBTD,1511,146143968
FBTD,1611,166126368
FBTD,1711,187388768
FBTD,1811,209931168
FBTD,1911,233753568
FBTD,2011,258855968
FBTD,2111,285238368
FBTD,2211,312900768
FBTD,2311,341843168
FBTD,2411,372065568
FBTD,2511,403567968
FBTD,2611,436350368
FBTD,2711,470412768
FBTD,2811,505755168
FBTD,2911,542377568
FBTD,3011,580279968
FBTD,3111,619462368
FBTD,3211,659924768
FBTD,3311,701667168
FBTD,3411,744689568
FBTD,3511,788991968
FBTD,3611,834574368
FBTD,3711,881436768
FBTD,3811,929579168
FBTD,3911,979001568
FBTD,4011,1029703968
FBTD,4111,1081686368
FBTD,4211,1134948768
FBTD,4311,1189491168
FBTD,4411,1245313568
